product_url,product_name,price,product_category,product_availability,product_brand,image_url,currency,shipping_cost,estimated_fee,ASIN,review,review_count,sales_rank,dimension,weight,ships_from,sold_by,seller
https://www.amazon.com/dp/B08LNXTZZ1,"Sonix Delilah Flower Case + Clear Case for iPhone 12 Pro Max, 10ft Drop Tested, Antimicrobial [2-Pack] Case Bundle",,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",Sonix,https://images-na.ssl-images-amazon.com/images/I/81b2A5zpboL._AC_SL1500_.jpg,,,No Import Fee,,"1 rating
5.0 out of 5 stars",1 rating,"#120,538",,,,,
https://www.amazon.com/dp/B07W69HPRN,OtterBox STRADA SERIES Case for iPhone 11 Pro - SHADOW (BLACK/PEWTER),$62.96,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/61pzskZBbWL._AC_SL1000_.jpg,$,$8.47,$7.01,B07W69HPRN,"487 ratings
4.6 out of 5 stars",487 ratings,"#37,450",5.89 x 3.08 x 0.58 inches,2.39 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08LNXG769,"Sonix Coffee Case + Clear Case for iPhone 12 Pro Max, 10ft Drop Test Antimicrobial [2-Pack] Case Bundle",$49.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Sonix,https://images-na.ssl-images-amazon.com/images/I/71fB5LGDEaL._AC_SL1500_.jpg,$,,No Import Fee,,"2 ratings
5.0 out of 5 stars",2 ratings,"#216,297",,,Amazon,SONIX / BONDIR,A2YCCGO1MNK25W
https://www.amazon.com/dp/B07V394RZF,"OtterBox Symmetry Clear Series, Clear Confidence for iPhone 11 - Stardust (77-62821)",$41.07,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/81oMdylGUrL._AC_SL1500_.jpg,$,$11.54,$4.92,B07V394RZF,"420 ratings
4.7 out of 5 stars",420 ratings,"#175,100",3.54 x 0.67 x 6.69 inches,3.52 ounces,Amazon Global Store UK,Amazon Global Store UK,AP3VA1GJZM3EQ
https://www.amazon.com/dp/B08K2S68NB,"Wireless Charger Stand, 3 in 1 Qi-Certified Wireless Charging Station for AirPods/Airpods 2 Pro iWatch 5/4/3/2,Fast Wireless Charging Stand Dock for iPhone 12/11 Pro/11 Pro Max/SE/XR/XS Max (Black)",$38.99,"Cell Phones & Accessories,Accessories,Chargers & Power Adapters,Charging Stations",In Stock.,Topume,https://images-na.ssl-images-amazon.com/images/I/71VRg1LWu2L._AC_SL1500_.jpg,$,$9.18,$4.68,B08K2S68NB,"55 ratings
4.6 out of 5 stars",55 ratings,"#17,433",7 x 3 x 1.2 inches,8.8 ounces,Amazon,Top wan,A33GYZ6WQ7XIJG
https://www.amazon.com/dp/B08NVL581S,"TechCode iPhone 12 Pro Max Stand Cover, Retro Magnetic Detachable Phone Case Wallet PU Leather Zipper Purse with Card Slots Cash Pocket Clutch Protective Cover for iPhone 12 Pro Max 6.7 inch, Black",$30.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Flip Cases",In Stock.,TechCode,https://images-na.ssl-images-amazon.com/images/I/716vsDKfphL._AC_SL1200_.jpg,$,,No Import Fee,B08NVL581S,"1 rating
5.0 out of 5 stars",1 rating,"#125,523",,,TechCode Ltd,TechCode Ltd,A3Q5H4Z17F8YDA
https://www.amazon.com/dp/B07WBZNYNF,"CoPedvic Phone Camera Lens Phone Lens for iPhone Samsung Pixel One Plus Huawei, 22X Telephoto Lens, 4K HD 0.67X Super Wide Angle Lens&25X Macro Lens(Screwed Together), 205° Fisheye Lens, Metal Tripod",$34.97,"Cell Phones & Accessories,Accessories,Photo & Video Accessories,Lens Attachments",In Stock.,CoPedvic,https://images-na.ssl-images-amazon.com/images/I/71NGRFRDjKL._AC_SL1500_.jpg,$,$9.94,$4.20,B07WBZNYNF,"4,254 ratings
4.3 out of 5 stars","4,254 ratings","#1,330",15.9 x 7.9 x 1 inches,0.64 ounces,Amazon,Orangis US,A1BGD5LWLGHGY2
https://www.amazon.com/dp/B08QSC85FH,CASEKOO Compatible with iPhone 12 Pro Max Case Black,,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",CASEKOO,https://images-na.ssl-images-amazon.com/images/I/81Z5LvlsiEL._AC_SL1500_.jpg,,,No Import Fee,,,,,,,,,
https://www.amazon.com/dp/B0861YTCD5,ZAGG InvisibleShield Glass VisionGuard+ - Screen Protector - iPhone 11 Pro - Impact Protection - case Friendly,$35.22,"Cell Phones & Accessories,Accessories,Maintenance, Upkeep & Repairs,Screen Protectors",In Stock.,ZAGG,https://images-na.ssl-images-amazon.com/images/I/71us9jgl1lL._AC_SL1500_.jpg,$,$8.39,$2.56,B0861YTCD5,"306 ratings
4.5 out of 5 stars",306 ratings,"#5,762",15.99 x 8.99 x 1 inches,0.023 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08LNW8GWN,"Sonix Boba + Clear Case for iPhone 12 Pro Max, 10ft Drop Tested, Antimicrobial [2-Pack] Case Bundle",$49.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Sonix,https://images-na.ssl-images-amazon.com/images/I/71SlYkumQmL._AC_SL1500_.jpg,$,,No Import Fee,,,,"#442,618",,,Amazon,SONIX / BONDIR,A2YCCGO1MNK25W
